day,artist,name,genre,link
6/8/2018,Foxygen,Avalon,indie,https://www.youtube.com/watch?v=kUf8zS3LoS0
6/9/2018,Mos Def,Mathematics,rap,https://www.youtube.com/watch?v=m5vw4ajnWGA
6/10/2018,,,,
6/11/2018,,,,
6/12/2018,,,,
6/13/2018,,,,
6/14/2018,,,,
6/15/2018,,,,
6/16/2018,,,,
6/17/2018,,,,
6/18/2018,,,,
6/19/2018,,,,
6/20/2018,,,,
6/21/2018,,,,
6/22/2018,,,,
6/23/2018,,,,
6/24/2018,,,,
6/25/2018,,,,
6/26/2018,,,,
6/27/2018,,,,
6/28/2018,,,,
6/29/2018,,,,
6/30/2018,,,,
7/1/2018,,,,
7/2/2018,,,,
7/3/2018,,,,
7/4/2018,,,,
7/5/2018,,,,
7/6/2018,,,,
7/7/2018,,,,
7/8/2018,,,,
7/9/2018,,,,
7/10/2018,,,,
7/11/2018,,,,
7/12/2018,,,,
7/13/2018,,,,
7/14/2018,,,,
7/15/2018,,,,
7/16/2018,,,,
7/17/2018,,,,
7/18/2018,,,,
7/19/2018,,,,
7/20/2018,,,,
7/21/2018,,,,
7/22/2018,,,,
7/23/2018,,,,
7/24/2018,,,,
7/25/2018,,,,
7/26/2018,,,,
7/27/2018,,,,
7/28/2018,,,,
7/29/2018,,,,
7/30/2018,,,,
7/31/2018,,,,
8/1/2018,,,,
8/2/2018,,,,
